Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi
sangat membantu sekali situasi daerah,Malik Habib,5,2023-04-29 03:37:15,InfoBMKG
Sangat berguna untuk keamanan aktivitas out door,Kriswan Driyanto,5,2023-04-29 02:48:41,InfoBMKG
Bagus sekali,Jack laimar putra,5,2023-04-29 02:26:26,InfoBMKG
Nice..bmkg,deswardi steq,5,2023-04-29 02:07:06,InfoBMKG
Saya merasa senang,Yesrius Laowo,5,2023-04-29 01:58:50,InfoBMKG
"BAGUS , LENGKAP , SANGAT TERBANTU",robert wicaksono,5,2023-04-29 01:20:47,InfoBMKG
sangat sangat membantu,Yudi Afriandonal,5,2023-04-29 00:14:45,InfoBMKG
Akurat,med ranggasolo,5,2023-04-29 00:06:39,InfoBMKG
Sengat membantu untuk siaga,Ahmad Junaidi,5,2023-04-28 23:33:17,InfoBMKG
Bagus,Agung Santoso,4,2023-04-28 22:55:21,InfoBMKG
Akut dan terpercaya 👍👍👍,Ros Miathy,5,2023-04-28 22:40:43,InfoBMKG
Menurut saya apk.nya bagus seperti yg saya inginkan,Sahri Ramadani,5,2023-04-28 21:48:59,InfoBMKG
Sangat membantu,Imran Lamadi,5,2023-04-28 21:45:29,InfoBMKG
Mantap,Wahyudianto ST,5,2023-04-28 21:41:05,InfoBMKG
Baik,elin 1303,5,2023-04-28 21:37:14,InfoBMKG
membantu kami info cuaca dan bencana,Denwarno Suwarno,4,2023-04-28 21:32:43,InfoBMKG
Info yang update,firdaus 2001,5,2023-04-28 21:27:45,InfoBMKG
Aplikasi yg bagus,mukti karya,5,2023-04-28 21:21:51,InfoBMKG
Giood,Muhamad Ilyas,5,2023-04-28 21:14:25,InfoBMKG
Good 👍,Lahay Usmanij,5,2023-04-28 21:11:23,InfoBMKG
Info sangat cepat,Listiyani Soenoro,5,2023-04-28 20:57:37,InfoBMKG
Cukup bagus......,Mc Don,3,2023-04-28 19:07:29,InfoBMKG
aplikasi sangat membantu memperoleh berita² cuaca dan kondisi bumi terupdate.,budi prasetyo,5,2023-04-28 18:35:46,InfoBMKG
Bagus,Yasaratodo Wau,5,2023-04-28 18:23:36,InfoBMKG
"Terima kasih BMKG saya sangat terbantu dgn adanya ini dan setiap saat dpt mengetahui dimana adanya gempa, dan selalu dpt Notovikasi",Asyadi Yadi,5,2023-04-28 18:21:19,InfoBMKG
Sangat membantu 👍👍👍,Subur 80,5,2023-04-28 16:42:19,InfoBMKG
Mantap,Ardian Larune,5,2023-04-28 15:57:55,InfoBMKG
Ok,aylashaqueena chigachigie,5,2023-04-28 15:23:04,InfoBMKG
sangat membantu tentang informasi gempa dan cuaca,Teguh Budi Santoso (Teguh),5,2023-04-28 15:10:02,InfoBMKG
Mantap,Sri Sabania,5,2023-04-28 14:46:54,InfoBMKG
Sangat membantu untuk mengetahui cuaca serta info masalah gempa,Donit sen Siregar,5,2023-04-28 14:32:00,InfoBMKG
Mantap,FF Account,5,2023-04-28 14:12:21,InfoBMKG
Sangat membantu jika ada bencana alam,Agus Berbah (Agus Berbah),5,2023-04-28 14:05:16,InfoBMKG
Sangat membantu dalam beraktifitas,Fendri Haryono,4,2023-04-28 13:46:52,InfoBMKG
Good job..... Terus ditingkatkan ya ..,EL NINO,5,2023-04-28 13:26:40,InfoBMKG
Sangat membantu sekali informasi aplikasi ini,Hendra Bampeck,5,2023-04-28 13:12:57,InfoBMKG
Aplikasi nya bagus dan valid 👍👍,Muhammad Saifullah,5,2023-04-28 12:21:37,InfoBMKG
Membantu....,Marga Ratu,5,2023-04-28 12:17:34,InfoBMKG
Bagus,Biase Ajak,5,2023-04-28 12:01:38,InfoBMKG
Baguuuussss,Triono,5,2023-04-28 11:57:51,InfoBMKG
Informasi yang didapat jauh lebih cepat padat tepat akurat.Jadi rujukan tanpa ada kesimpangsiuran.,Akhyar Elfuad,4,2023-04-28 11:48:52,InfoBMKG
Sangat membantu,Untung Saptoadji,5,2023-04-28 11:36:00,InfoBMKG
LumYan mendeteksi,Ahmad lutfi Ramadan,5,2023-04-28 11:35:39,InfoBMKG
baik,Ama Jo Wadu,5,2023-04-28 11:35:00,InfoBMKG
Saya blm mendapatkan info yg cepat,Culek Jambak,5,2023-04-28 11:28:11,InfoBMKG
MANTAAAP,Darmono,5,2023-04-28 11:23:30,InfoBMKG
Karna aplikasi ini sa ngat penting bagi saya...🙏,IRFANUDIN,5,2023-04-28 11:12:20,InfoBMKG
Ok,Dedy Aja,5,2023-04-28 10:48:01,InfoBMKG
"Info BMKG sangat membantu masyarakat terhadap kejadian gempa bumi, terutama titik lokasi dan kekuatan gempa. Terimakasih BMKG.",badrun samin,5,2023-04-28 10:47:30,InfoBMKG
Informasi yg baik,Heri yanto,5,2023-04-28 10:44:12,InfoBMKG
"Sangat membantu dalam Mitigasi , khususnya kami di Lombok.",Muhammad ridwan,5,2023-04-28 10:36:55,InfoBMKG
Akurat,K. SIAGIAN,4,2023-04-28 10:36:37,InfoBMKG
Banyak manfaat,Abdillah Tadjuddin,5,2023-04-28 10:33:17,InfoBMKG
Info nya sangat membantu,jinho master,5,2023-04-28 10:33:13,InfoBMKG
mantap,tony arianto,5,2023-04-28 10:32:07,InfoBMKG
Oke,Info Traveling Traveling,5,2023-04-28 10:15:13,InfoBMKG
Sangat bermanfaat,Lalu Burhanudin,5,2023-04-28 10:05:58,InfoBMKG
👍,Heriansyah Ptk,5,2023-04-28 10:04:09,InfoBMKG
Sangat membantu sekali,Bagus wicaksono,5,2023-04-28 10:01:35,InfoBMKG
Sangat membantu,Anas Mufidin,5,2023-04-28 09:56:00,InfoBMKG
Sangat membantu,Heny Kusmiati,5,2023-04-28 09:55:49,InfoBMKG
"Saya lihat, infonya lengkap sih, yg sy cari dan butuhkan sudah ada dn tersedia jawabannya d dlm aplikasi.. terimakasih 🙏",Ely Purnami,5,2023-04-28 09:55:25,InfoBMKG
Mantap abis,Bang Day1,5,2023-04-28 09:49:03,InfoBMKG
👍👍👍,Mercy Jayapura,5,2023-04-28 09:49:03,InfoBMKG
Sangat oke,Lasmy99 Ramadhan9999,5,2023-04-28 09:40:22,InfoBMKG
Ok,budi rahmat setiawan,5,2023-04-28 09:31:25,InfoBMKG
Untuk kualitas dan aksesibilitas app informatif dan fresh Fiture,moris cahyadi,5,2023-04-27 16:23:43,InfoBMKG
Aplikasi nya lebih ditingkatkan lagi Kalau perlu datanya harus lebih akurat,Muhammad Ihsan karmedi,5,2023-04-26 08:01:54,InfoBMKG
Sangat Membantu untuk mencari tahun lokasi terjadinya bencana,Yana Property channel,5,2023-04-26 03:17:58,InfoBMKG
APLIKASI TERBURUK PADAHAL SANGAT DI BUTUHKAN INFORMASI NYA TAPI TIDAK BISA TERUPDATE SUDAH 21 JAM LALU GEMPA MENTAWAI TAPI TIDAK BISA TERBARUI JUGA BIKIN EMOSI KALAU TIDAK BECUS DALAM MENYEDIAKAN LAYANAN UNTUK PUBLIK MENDING HAPUS SEKALIAN APLIKASI NYA 👎👎,Wardicz jr,1,2023-04-25 18:17:42,InfoBMKG
"Saya sarankan tambahan serene jika terjadi gempa berpotensi tsunami, itu sangat bagus sehingga masyarakat dapat melarikan diri ketempat yang lebih aman",TEGUH JULIO,5,2023-04-25 12:04:38,InfoBMKG
"info bikin bingung, pmberitahuan cuaca tak benar, kadang infonya akan turun hujan pd hal saat smpai waktunya berubah lagi, cuaca panas,, pemberitahuan cuaca tak perna jelas",abdul rahim rahim,1,2023-04-25 09:44:55,InfoBMKG
Sangat membantu sekali buat liat cuaca di daerah ku,BTX•XD,5,2023-04-25 08:24:51,InfoBMKG
Not bad,AL FATIH ___,5,2023-04-25 08:00:40,InfoBMKG
Setelah update sangat buruk peta kecil apaaan,cinthia herlina24,1,2023-04-25 01:07:26,InfoBMKG
"Aplikasinya tidak bisa terbuka,kenapa sekarang begitu ya?",Gf alokkk Gf alokkk,2,2023-04-24 22:08:04,InfoBMKG
Terimakasih APK BMKG Sangat membantu Kami Kususnya di daerah tepi laut yg sangat was-was adanya sunami sewaktu waktu akan adanya!!,Wahyu Dalubis,5,2023-04-24 21:25:21,InfoBMKG
"Dulu Aplikasi Ini Memberi Informasi Berupa Pesan Kepada Pengguna Saat Ada Gempa, Tapi Sekarang Kok Tidak Ada Lagi? Min... Harap Buang Aja Ni Aplikasi Gak Ada Faedah, Masak Info Gempa Terbarunya 15 Hari Yg Lalu Di Tampilkan.",Pengguna Google,1,2023-04-24 20:48:08,InfoBMKG
Bru aja download tpi ga bsa buka apk nya...,Muhammad Hatta. Z,1,2023-04-24 20:23:18,InfoBMKG
Sangat membantu,Ilham Membara,5,2023-04-24 20:18:31,InfoBMKG
"Makin kesini makin buruk, notifikasi sama riwayat gempa terbaru 10 hari yang lalu.",Pengguna Google,2,2023-04-24 20:15:17,InfoBMKG
Komporgas bagus,Takdir Muliono,4,2023-04-24 14:39:17,InfoBMKG
Akurasi bagus,Ruslan Ab.G,5,2023-04-24 08:33:40,InfoBMKG
Langsung bintang 5 saja ya boss ku,Syamsuwir Uwir,5,2023-04-23 10:22:16,InfoBMKG
Bagus kita bisa tau kalo gempa 🙂🙂🙂🙂🙂🙂🙂,Siti Nurhaliza,5,2023-04-23 04:36:08,InfoBMKG
"Akan jauh lebih baik lagi jika memiliki Widget yang dapat disimpan di homescreen, mohon kerjasamanya 🙏",Eris Sulistina,4,2023-04-22 22:37:41,InfoBMKG
Bagus sangat membantu,Hana cristian,5,2023-04-19 17:04:57,InfoBMKG
"Versi update nya tidak kaya yang dulu bisa menampilkan menu tambahan seperti skala MMI dll,jadi pada akhirnya simpel tapi malah ribet",KORG Oranye,3,2023-04-17 11:56:13,InfoBMKG
"Sekarang gak ada titik lokasi saya, yang ada cuma titik lokasi gempa saja, dan kalau ada notif diklik gak bisa masuk aplikasi, tolong diatasi segera",Ruddin,1,2023-04-17 11:12:48,InfoBMKG
Lagi Test dulu kalau akurat gue naik bintang nya,ujicoba game18,4,2023-04-15 21:29:07,InfoBMKG
Bagus,Lidwina Maria,5,2023-04-15 15:26:55,InfoBMKG
Semoga sesuai,Gunawan Khiado,4,2023-04-15 15:20:45,InfoBMKG
Setelah di Update g bisa dibuka,Bayo buan Tanlek,5,2023-04-15 12:13:25,InfoBMKG
Sangat membantu,sandi sandria,5,2023-04-15 09:11:18,InfoBMKG
ini apk nya sangat berguna kalau untuk aku,Fahri Tulungagung,5,2023-04-15 05:28:41,InfoBMKG
Bagus saya suka👍🏻,Arham'28Ham,5,2023-04-15 05:16:50,InfoBMKG
Aplikasi info BMKG sangat berguna untuk mengetahui prakiraan cuaca dan gempa bumi yang terjadi di Indonesia,Restu,5,2023-04-14 22:17:16,InfoBMKG
Oke,Nur Hadi,5,2023-04-14 14:26:23,InfoBMKG
Wau informasi yg keren dan terpercaya,Reza Maghfiroh,5,2023-04-14 12:54:59,InfoBMKG
Sangat bgs.,Rizky Ramadhan,5,2023-04-14 11:59:22,InfoBMKG
Sangat bagus,Mr.lombok,5,2023-04-14 11:09:44,InfoBMKG
Sangat membantu dalam informasi cuaca,Amang Yamin,5,2023-04-14 10:59:13,InfoBMKG
Mantul,Astrit Setrit,5,2023-04-14 10:54:30,InfoBMKG
Sekarang tidak bisa melihat sekala mmi daerah daerah yg merasakan gempa. Aplikasinya di update malah jadi berantakan nggak karuan. Notifikasinya diklik juga nggak mau masuk ke aplikasinya. Yang penting impormasinya jangan tampilannya.,Ronny Pramono,1,2023-04-14 10:50:56,InfoBMKG
Info cepat...👍👍,Moch Suchaeri,5,2023-04-14 10:41:02,InfoBMKG
Fast respon kek,I Kadek Dwipa Anantawikrama,1,2023-04-14 10:18:56,InfoBMKG
sangat bermanfaat,Muhammad Djuari,5,2023-04-14 10:14:47,InfoBMKG
"Ini gatau emang hp sy yang kurang tepat atau gimana. Tapi yang sy rasakan setelah ada gempa pasti tidak ada notif yang muncul, buka menu aplikasinya juga tetep nggak ada pembaruan. Sy kira karna masih beberapa detik/menit yang lalu. Tapi ditungguin lama sampe 10 menit ga masuk-masuk. Hmmmm",Munah Rai Putri,4,2023-04-14 10:14:32,InfoBMKG
Sangat membantu sekali,Nofiyani W,5,2023-04-14 10:13:44,InfoBMKG
"Bagus. Tapi maaf saya salah survey karena baru pertama kali mengunduh, untuk survey gempa hari ini🙏🙏",Ester Yulitania Toker,5,2023-04-14 10:13:14,InfoBMKG
Kurang update,mellondt lemmont,1,2023-04-14 10:09:54,InfoBMKG
Tambah jlek ngk akurat kebayakan di perbarui.. mending versi lamanya no problem,Latiful Anwar,1,2023-04-14 10:08:31,InfoBMKG
Ok,CHARLES KUSUMO,5,2023-04-14 10:05:22,InfoBMKG
Bug tampilan gempa terpotong setengah layar,33 Kadek Majesta Arditama,3,2023-04-14 10:04:44,InfoBMKG
Notifikasi lambat. Tolong ditambah fitur aduan bencana. Jadi masyarakat yang merasakan bisa secepatnya memberikan aduan apa yang terjadi di tempat,Silver Hood,2,2023-04-14 10:03:35,InfoBMKG
Ok,Sattuang Sattuang,5,2023-04-12 01:59:07,InfoBMKG
Ramadhan,Avisi Repalina,5,2023-04-10 23:42:36,InfoBMKG
"Aplikasi asw, tdk update gempa terbaru, setan",Mahjun Ali,1,2023-04-10 18:07:24,InfoBMKG
Bitang 3 sja. Soalnnya tampilan petanya malah jelek di versi baru ini.,Sri Mulyeti,3,2023-04-10 17:44:29,InfoBMKG
Terima kasih,Hieronimus Feivel Widihartanto,5,2023-04-10 12:17:15,InfoBMKG
Bagus,Lhank Ruslan,5,2023-04-10 06:34:20,InfoBMKG
Mantab...,Harun Alrasyid,5,2023-04-07 13:32:15,InfoBMKG
Terima kasih atas infonya 👍👍👍,Edwin Pama,5,2023-04-07 13:10:29,InfoBMKG
Ok,dasep jamaludin,5,2023-04-06 19:32:37,InfoBMKG
Aplikasi yang berguna menjadikan saya lebih tau cuaca dan kondisi alam sekitar dengan lebih update,Rafi Ikhsan S.M,5,2023-04-06 14:36:20,InfoBMKG
Sangat bagus,Hadi Bengoh,5,2023-04-04 16:24:34,InfoBMKG
Akurat terpercaya,Puspa Made,5,2023-04-03 23:26:13,InfoBMKG
No coment,Misran Stmg,5,2023-04-03 16:09:13,InfoBMKG
Ok,Marwansyah siregar,5,2023-04-03 16:03:06,InfoBMKG
ok app,syahbuddin nursaleh,5,2023-04-03 15:33:41,InfoBMKG
"Bagus,berita akurat dan propesional",Ferdinanto Purba,5,2023-04-03 15:07:16,InfoBMKG
Bagus klu masalah gempa,Iccank Iccank,5,2023-04-02 10:21:16,InfoBMKG
Oke,putra ranto,1,2023-03-30 15:02:08,InfoBMKG
"Gambar/Peta/Grafis, lebih bagus yg sebelumya.",Muhammad Satria,4,2023-03-30 13:20:19,InfoBMKG
"Sebenernya lebih bagusan abdetan yg utama lhih real,klo yg sekarang malah membagongkan,lain di lihat malah yg keluar negara2 yg kena gempa.🤔🤔🤔",Iwan Bejah,4,2023-03-30 04:45:47,InfoBMKG
Is the best,Sanss Jancok,5,2023-03-29 20:42:12,InfoBMKG
"Bagus, hny knp skrg tidak bisa kirim survey untuk gempa nya ya? Sering eror",Qays Ariqin Diavazo,4,2023-03-29 20:18:18,InfoBMKG
Tidak akurat,SULMAN ABADI,1,2023-03-29 18:35:49,InfoBMKG
Tambah jelek aja apk ini dulu waktu gempa ada notifikasi pemberitahuan yang keluar dalam 7 menit atau pemberitahuan gempat berbaru langsung keluar dalam 7 menit atau 10 menit sekarang lama sekali sekitar 20 menit dan juga notifkasi enggak ada sumpah apk sampah lama-lama,Yusran Jr,1,2023-03-29 18:33:35,InfoBMKG
eh di daerah saya gempa lumayan besar udah serangan jam blum ada informasi dari Anda ga ngerti gua fungsi aplikasi ini buat apa,milna emont,1,2023-03-29 18:27:34,InfoBMKG
sngat berarti,Abdul Rohman,5,2023-03-29 06:30:51,InfoBMKG
"Bukan ga update softwarenya, tapi informasinya ga up to date",elta,3,2023-03-29 05:37:19,InfoBMKG
Gabut,Ovin Yunita,5,2023-03-28 11:23:08,InfoBMKG
Membantu untuk info gempa,kornelis tuwilay,5,2023-03-27 11:08:07,InfoBMKG
Ngak akurat.setelah gempa terjadi ngak ada laporanya sama sekali,Hanik Ummi,1,2023-03-25 23:00:49,InfoBMKG
"Apk ini sangat bagus, sya menyukainya karena kebenaran informasinya hampir 75%..",Wahyu Ismoyo,4,2023-03-25 22:33:32,InfoBMKG
"Sangat membantu, tapi ada juga terkadang telat infonya.",Razaly Sulaiman,5,2023-03-25 17:58:37,InfoBMKG
Anjinkkkk,Sukmara Thea,1,2023-03-25 09:13:07,InfoBMKG
Ok,the Cansalony,4,2023-03-25 08:18:29,InfoBMKG
Good,Sahpri Rhizka,5,2023-03-23 05:06:14,InfoBMKG
"Membantu banget, tapi tlg diperbaiki lagi aplikasinya. Begitu muncul notif gempa misalnya, diklik ngga ngefek, ngga bisa langsung ke aplikasi. Ngga ky dulu",Deep,4,2023-03-23 04:59:47,InfoBMKG
Thank you👍👍👍,Sukri Adi,5,2023-03-22 20:45:25,InfoBMKG
"Bagus, info gempa lumayan akurat, sangat update.",Dwiyantama Imanuddin,5,2023-03-22 08:52:45,InfoBMKG
Sangat membantu sekali👌👍👍👍👍👍👍,Puji Hari Saptaji,5,2023-03-21 05:52:55,InfoBMKG
Crash di android 13. Mendapat notifikasi untuk di no aktifkan oleh system android karena terlalu sering Crash. Mohon diperbaiki. Review akan di edit setelah masalah selesai Update 3.1.2 android 13 sudah tidak crash notifikasi.,Yudi Kristanto,5,2023-03-21 05:02:49,InfoBMKG
kenapa gak ada notif saat gempa ya?,Hafizh Nursalam Dasril SKM,3,2023-03-20 01:57:48,InfoBMKG
Wah saya senang sekali karena BMKG sosialisasi ke sekolah saya.,Dimas Abdus Syukur,5,2023-03-20 01:42:50,InfoBMKG
Sudah lumayan bagus aplikasinya,Doni Hamza,5,2023-03-19 03:06:46,InfoBMKG
Jelas,Make sinting,5,2023-03-17 17:19:09,InfoBMKG
"Bagus sih cuma kalau bisa notif gempa yg muncul di hp itu yg terjadi didaerah sekitar aja, misal yg tinggal didaerah Sumatera yaa notif gempa yg muncul hanya yg bagian sumatera juga, jadinya gak numpuk sehari bejibun notifikasi ujung2nya malah gak dibaca.",Niela 0993,4,2023-03-17 13:41:46,InfoBMKG
Bagus informatif,Puguh Subiantoro,5,2023-03-17 12:56:37,InfoBMKG
Good,nur takino,5,2023-03-17 12:40:40,InfoBMKG
"Masih ada bug. Notifikasi masuk gempa, dll, sudah tepat, tapi saat diklik aplikasi sama sekali tidak terbuka.",Yaniarti P.,3,2023-03-17 12:16:14,InfoBMKG
Ada gempaaa,ranti giming,4,2023-03-17 12:15:42,InfoBMKG
"pembaruan makin jelek, teks menutupi peta & teks tidak bisa di tutup manual sangat tidak nyaman",L34N,4,2023-03-17 12:13:04,InfoBMKG
Gak bisa masuk menu,Lah Kok Baper Sih,1,2023-03-17 12:12:09,InfoBMKG
Sangat membantu,yunedi 98,4,2023-03-16 11:08:50,InfoBMKG
Perkiraan cerah pdahal di kecatan saya hujan anggin mlesettt bmkg ne sek krng canggih alate,fijai alfa,1,2023-03-16 07:38:13,InfoBMKG
Hooh tenan,RISQI RAMADANI,5,2023-03-15 15:55:54,InfoBMKG
"Dear developer, sekarang sudah tahun 2023, masih belum ada niatkah untuk menambahkan widget, demi memudahkan para pengguna, seperti pada aplikasi - aplikasi cuaca yang lain???",noer ally,1,2023-03-15 09:08:25,InfoBMKG
"Luar biasa, hebat and good",Rospendi,5,2023-03-11 21:02:21,InfoBMKG
Good,Ayah Fatih Fathan,5,2023-03-11 12:40:10,InfoBMKG
Ok,TELUK YOUTEFA PM78,5,2023-03-10 22:45:56,InfoBMKG
Boleh juga,Tettysilsban Silaban,5,2023-03-10 10:15:05,InfoBMKG
Good,Kornelius Kantor,5,2023-03-10 00:11:59,InfoBMKG
Bagus,Demang Kusuma Sumantri,5,2023-03-08 11:24:55,InfoBMKG
"mohon ditambah widget cuaca, terima kasih.",Ybanez Vijeysechan Hamadi,4,2023-03-07 10:13:47,InfoBMKG
Sangat berguna informasinya,Naim Naim,5,2023-03-07 07:45:54,InfoBMKG
😨😰,Baim Aja,5,2023-03-06 16:47:56,InfoBMKG
Sangat membantu,Sarijul Basri,4,2023-03-06 16:04:37,InfoBMKG
Posisi GPS tidak akurat alamat tempat sy TDK di temukan,Ruslin Lin,1,2023-03-06 13:04:11,InfoBMKG
Exelent,hoerus saleh,5,2023-03-05 17:21:12,InfoBMKG
Baik,YULIUS.KUTIKA. KUTIKA,5,2023-03-05 14:16:11,InfoBMKG
Semoga dgn adax aplikasi ini mengingatkan kita untk senantiasa wapada,siska juliet,4,2023-03-05 12:31:00,InfoBMKG
Baguus terimakasih,Hilda Hilda,4,2023-03-04 18:25:26,InfoBMKG
Sangat penting dalam memberikan informasi tersebut,Suhardi Suha,5,2023-03-04 17:44:01,InfoBMKG
"Versi sekarang sudah lebih baik dari sebelumnya, informatif dan ui yang mudah dimegerti",Kenny Zoe,5,2023-03-04 08:33:12,InfoBMKG
Goddd,leo saputra,5,2023-03-03 10:17:59,InfoBMKG
Mantpppp,Jihan Talita,5,2023-03-03 07:25:23,InfoBMKG
Coba dulu,Miss Dyandy,5,2023-03-02 20:53:35,InfoBMKG
"Sudah bagus... Tambahin widget dong pliss...soalnya aplikasinya udah bagus banget,minimal widget cuaca atau apa lah gtu... Ayolah tambahin widget",Abdul Bazieth,4,2023-03-02 18:49:44,InfoBMKG
Ok,Adi Marta,5,2023-03-02 17:31:46,InfoBMKG
Ok,Agung,5,2023-03-02 12:32:05,InfoBMKG
Badan Meteorologi Klimatologi dan Geofisika is the best,Nursyam Sutan,5,2023-03-02 04:19:28,InfoBMKG
"Info BMKG sangat penting utk memperoleh informasi terkini, terupdate dan terpercaya.",Hasan Udin,5,2023-03-02 00:41:49,InfoBMKG
Sangat membantu,Kristoforus Koten,5,2023-03-01 16:27:14,InfoBMKG
Lumayan...,Harianto Nadine,4,2023-03-01 13:50:57,InfoBMKG
"Sudah bagus. Tetapi akan lebih bagus lagi kalau notifikasinya tepat waktu, tidak terlambat, karena seringnya terlambat lebih dari 30 menit",kus woyo,5,2023-03-01 13:36:06,InfoBMKG
Sangatlah penting bagi kamu menerima semuanya informasi,Iskandar Torang,5,2023-03-01 12:44:53,InfoBMKG
Kamu ingat. Tau gempa jokja hari ini wilayah nama,Bambang Suriyana,5,2023-03-01 12:40:07,InfoBMKG
Aplikasi nya Bagus Banget Dan Membantu Mengetahui Informasi Bencana Alam Yang Terjadi,Aldisar Maulana_023,5,2023-03-01 12:10:55,InfoBMKG
Sangat membantu sekali,SANTO AC,5,2023-03-01 11:45:22,InfoBMKG
Coba dulu,SARCE ARONGGEAR,1,2023-03-01 06:40:07,InfoBMKG
Di lht dengan jelas,Riskhi Setiawan,5,2023-03-01 00:18:45,InfoBMKG
Sangat membantu,Kosong Dua,5,2023-02-28 19:48:14,InfoBMKG
Terima ksh dgn info aplikasi ini saya jd tau seberapa jauh lokasi sy dgn lokasi kejadian smoga akurat,Siti Fatimah,5,2023-02-28 18:27:32,InfoBMKG
Gas,Michi H,5,2023-02-28 15:12:31,InfoBMKG
Trims,Juwari Ari,5,2023-02-28 14:52:47,InfoBMKG
Good 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,Arthur Lawalata,5,2023-02-28 14:46:32,InfoBMKG
👍 👍 👍,Cara cepat Menanam cabe dan tomat (Petani cabe unggal),5,2023-02-28 13:43:02,InfoBMKG
berita terupdate,Ferry Hamid,5,2023-02-28 13:31:37,InfoBMKG
bagus bngttt,Rina Putry,5,2023-02-28 13:27:05,InfoBMKG
Data up to date,agus masuri,5,2023-02-28 06:31:39,InfoBMKG
"Info BMKG, sangat membantu keseharian kita sebagai pekerja lapangan....., terima kasih BMKG....semangat dan sukses kedepan....👌👍🤓",Siti Fatonah alfakah,5,2023-02-28 06:01:08,InfoBMKG
Baik,christ glen,5,2023-02-28 04:18:09,InfoBMKG
"Kurang update kalau soal cuaca, tapi kalau masalah gempa cepat update, bagusan nama nya jadi INFO GEMPA.",Alvian Borneo,3,2023-02-27 18:06:22,InfoBMKG
Bagus,fery saputra,5,2023-02-27 16:59:58,InfoBMKG
Membantu,Al fatih,5,2023-02-27 14:48:06,InfoBMKG
Sedia BMKG sebelum hujan,AISYAH BERLIANA,4,2023-02-27 09:06:45,InfoBMKG
Mantap,saifuddin ardian,5,2023-02-27 08:16:14,InfoBMKG
Aplikasi ini membantu kami utk melihat cuaca.,Novy Manuel Pitha,5,2023-02-27 07:00:50,InfoBMKG
Sangat membantu,Kampe Buni,5,2023-02-27 06:54:33,InfoBMKG
Bagus,Muhammad Amirudin,5,2023-02-27 06:03:21,InfoBMKG
"info cuacanya sangat akurat, sangat membantu bagi kami yang bertugas di lapangan",van kono,5,2023-02-27 05:48:24,InfoBMKG
ok u free to do,Sahrul Ramadhan,1,2023-02-27 04:33:26,InfoBMKG
Apk nya bagus tapi dampak nya perbanyak lagi soalnya cmn 2 masi ada dampak lain bukan cmn banjir sama longsor bisa saja angin puting beliung,Muhammad Latif,5,2023-02-27 03:47:13,InfoBMKG
Baru coba.kalau Bagus ful bintang.,Kas Madi,4,2023-02-27 02:23:01,InfoBMKG
"Terimakasih, semoga menjadi wasilah untuk selalu siaga",kafemu 6,5,2023-02-27 01:38:40,InfoBMKG
bagus,Michi Kawa,5,2023-02-27 01:31:55,InfoBMKG
👍,Aldriyan Labania,5,2023-02-27 01:30:26,InfoBMKG
Oke,Rafli Haidar,5,2023-02-27 00:39:24,InfoBMKG
Sangat bermanfaat,HUMRIS Channel,5,2023-02-26 23:07:24,InfoBMKG
"Kalau ada gempa ada notifikasi itu normal, atapi yang bikin bingung pals lagi ujan keterangannya ⛅ sampai ☀",Eko Saluko,1,2023-02-26 22:58:04,InfoBMKG
"BMKG, sangat membantu masyarakat Indonesia guna mengenal, mengetahui prakiraan kandungan bumi (geologi) dengan kewaspadaan",Gilius Bay,5,2023-02-26 22:25:11,InfoBMKG
Ini klau soal cuaca kurang akurat,KhiRizky,3,2023-02-26 22:16:10,InfoBMKG
Terima kasih untuk infonya,Yan Yansen,3,2023-02-26 21:56:29,InfoBMKG
Sangat membantu,ARRA ARA,5,2023-02-26 20:13:34,InfoBMKG
Tahu ramalan cuaca lebih awal,Eko Bambang Aristianto,5,2023-02-26 16:45:28,InfoBMKG
Langsung lima bintang bosku krna saya rasa aplikasinya sangat akurat dan sangat bermamfaat sekali makasih admin🙏🙏🙏,Ilham Saputra,5,2023-02-26 13:45:46,InfoBMKG
Sangat efisien memantau cuaca dari ponsel,Eko Qotrun Nada S,5,2023-02-26 10:56:01,InfoBMKG
Gempanya tidak geser cuma di laut,safik rantaw,5,2023-02-26 10:16:20,InfoBMKG
Bagus sekali,Rullah Ibrahim,5,2023-02-26 05:45:40,InfoBMKG
Apk sangat baik dan akurat,Roni rongsokan,5,2023-02-26 05:41:55,InfoBMKG
Sangat menbantu untuk keperluan saya setiap hariya karna saya kerja di lapagan tmks BMKG,Sun Clean,5,2023-02-26 04:15:02,InfoBMKG
"Semakin lengkap infonya, lokal maupun global ada, terutama info gempa, semakin banyak tau kebenaran informasinya....👍🏻",suksma sayekto,5,2023-02-26 01:33:22,InfoBMKG
"Bagus, supaya lebih praktis tambahin widget buat di depan hp agar lebih cepat informasi hujan,gempa,dll",Akmal CH,5,2023-02-25 23:06:15,InfoBMKG
"Jazaakallahu Khairaa, semoga semakin berkembang",Dodi Appraisal,5,2023-02-25 16:13:22,InfoBMKG
Semakin di tingkatkan lagi yang lebih baik,Elbasrikyngn Elbasrikyngn,5,2023-02-25 13:28:18,InfoBMKG
Bagus,hery benteng,5,2023-02-25 12:20:24,InfoBMKG
